,original_index,Grupo_Metabolico
413,6780,3. Hidrolasas
414,6783,2. Transferasas
415,6787,2. Transferasas
416,6818,2. Transferasas
417,6828,2. Transferasas
418,6831,2. Transferasas
419,6841,1. Oxidorreductasas
420,6843,2. Transferasas
421,6856,2. Transferasas
422,6863,5. Isomerasas
423,6893,2. Transferasas
424,6910,2. Transferasas
425,6915,3. Hidrolasas
426,6932,2. Transferasas
427,6983,2. Transferasas
428,7013,2. Transferasas
429,7018,6. Ligasas
430,7019,2. Transferasas
431,7023,3. Hidrolasas
432,7053,5. Isomerasas
433,7067,3. Hidrolasas
434,7094,3. Hidrolasas
435,7106,3. Hidrolasas
436,7120,3. Hidrolasas
437,7185,2. Transferasas
438,7188,4. Liasas
439,7202,2. Transferasas
440,7213,3. Hidrolasas
441,7233,2. Transferasas
442,7237,5. Isomerasas
443,7254,2. Transferasas
444,7262,1. Oxidorreductasas
445,7264,2. Transferasas
446,7267,2. Transferasas
447,7303,2. Transferasas
448,7305,2. Transferasas
449,7308,3. Hidrolasas
450,7312,5. Isomerasas
451,7316,2. Transferasas
452,7318,2. Transferasas
453,7323,4. Liasas
454,7328,7. Translocasas
455,7331,2. Transferasas
456,7332,3. Hidrolasas
457,7338,2. Transferasas
458,7371,2. Transferasas
459,7386,2. Transferasas
460,7397,3. Hidrolasas
461,7422,3. Hidrolasas
462,7426,3. Hidrolasas
463,7454,6. Ligasas
464,7464,1. Oxidorreductasas
465,7478,3. Hidrolasas
466,7479,3. Hidrolasas
467,7483,2. Transferasas
468,7494,2. Transferasas
469,7536,2. Transferasas
470,7541,5. Isomerasas
471,7547,6. Ligasas
472,7561,2. Transferasas
473,7601,3. Hidrolasas
474,7605,3. Hidrolasas
475,7609,2. Transferasas
476,7610,6. Ligasas
477,7611,1. Oxidorreductasas
478,7621,2. Transferasas
479,7628,2. Transferasas
480,7629,2. Transferasas
481,7649,2. Transferasas
482,7650,6. Ligasas
483,7659,3. Hidrolasas
484,7696,3. Hidrolasas
485,7698,3. Hidrolasas
486,7710,3. Hidrolasas
487,7711,3. Hidrolasas
488,7716,2. Transferasas
489,7761,3. Hidrolasas
490,7765,2. Transferasas
491,7780,1. Oxidorreductasas
492,7805,1. Oxidorreductasas
493,7817,1. Oxidorreductasas
494,7847,2. Transferasas
495,7849,3. Hidrolasas
496,7861,4. Liasas
497,7864,5. Isomerasas
498,7867,2. Transferasas
499,7933,1. Oxidorreductasas
500,7940,3. Hidrolasas
501,7941,4. Liasas
502,7946,2. Transferasas
503,7953,4. Liasas
504,7973,3. Hidrolasas
505,7983,2. Transferasas
506,7991,2. Transferasas
507,7996,2. Transferasas
508,8001,2. Transferasas
509,8002,1. Oxidorreductasas
510,8004,1. Oxidorreductasas
511,8026,2. Transferasas
512,8029,2. Transferasas
513,8036,1. Oxidorreductasas
514,8037,1. Oxidorreductasas
515,8045,5. Isomerasas
516,8051,2. Transferasas
517,8052,2. Transferasas
518,8069,1. Oxidorreductasas
519,8150,2. Transferasas
520,8162,2. Transferasas
521,8173,5. Isomerasas
522,8175,3. Hidrolasas
523,8195,2. Transferasas
524,8231,2. Transferasas
525,8233,2. Transferasas
526,8253,5. Isomerasas
527,8265,2. Transferasas
528,8268,3. Hidrolasas
529,8276,3. Hidrolasas
530,8310,6. Ligasas
531,8314,1. Oxidorreductasas
532,8320,4. Liasas
533,8326,2. Transferasas
534,8328,2. Transferasas
535,8349,2. Transferasas
536,8372,2. Transferasas
537,8375,3. Hidrolasas
538,8379,5. Isomerasas
539,8381,2. Transferasas
540,8399,2. Transferasas
541,8440,4. Liasas
542,8443,2. Transferasas
543,8473,2. Transferasas
544,8546,1. Oxidorreductasas
545,8547,5. Isomerasas
546,8548,2. Transferasas
547,8589,3. Hidrolasas
548,8637,2. Transferasas
549,8638,2. Transferasas
550,8642,3. Hidrolasas
551,8644,5. Isomerasas
552,8720,2. Transferasas
553,8722,2. Transferasas
554,8744,3. Hidrolasas
555,8747,5. Isomerasas
556,8758,2. Transferasas
557,8770,2. Transferasas
558,8786,2. Transferasas
559,8834,3. Hidrolasas
560,8838,5. Isomerasas
561,8852,3. Hidrolasas
562,8863,2. Transferasas
563,8876,2. Transferasas
564,8880,3. Hidrolasas
565,8896,2. Transferasas
566,8897,2. Transferasas
567,8907,5. Isomerasas
568,8918,1. Oxidorreductasas
569,8925,2. Transferasas
570,8927,5. Isomerasas
571,8956,7. Translocasas
572,8984,1. Oxidorreductasas
573,8988,1. Oxidorreductasas
574,8990,2. Transferasas
575,8992,2. Transferasas
576,9028,3. Hidrolasas
577,9032,2. Transferasas
578,9047,3. Hidrolasas
579,9050,3. Hidrolasas
580,9053,2. Transferasas
581,9061,2. Transferasas
582,9065,6. Ligasas
583,9099,2. Transferasas
584,9132,3. Hidrolasas
585,9161,3. Hidrolasas
586,9172,3. Hidrolasas
587,9197,2. Transferasas
588,9201,2. Transferasas
589,9204,2. Transferasas
590,9216,3. Hidrolasas
591,9501,2. Transferasas
592,9578,2. Transferasas
593,9584,1. Oxidorreductasas
594,9593,2. Transferasas
595,9640,5. Isomerasas
596,9752,2. Transferasas
597,9782,3. Hidrolasas
598,9846,2. Transferasas
599,9927,5. Isomerasas
600,9939,2. Transferasas
601,9966,2. Transferasas
602,9968,2. Transferasas
603,10016,3. Hidrolasas
604,10045,5. Isomerasas
605,10056,2. Transferasas
606,10086,2. Transferasas
607,10092,2. Transferasas
608,10283,2. Transferasas
609,10396,2. Transferasas
610,10409,2. Transferasas
611,10570,2. Transferasas
612,10661,2. Transferasas
613,10826,3. Hidrolasas
614,10915,5. Isomerasas
615,10970,3. Hidrolasas
616,10971,2. Transferasas
617,10981,3. Hidrolasas
618,10982,3. Hidrolasas
619,10996,2. Transferasas
620,10997,3. Hidrolasas
621,11019,1. Oxidorreductasas
622,11024,2. Transferasas
623,11065,2. Transferasas
624,11154,2. Transferasas
625,11170,3. Hidrolasas
626,11199,5. Isomerasas
627,11202,3. Hidrolasas
628,11212,3. Hidrolasas
629,11213,3. Hidrolasas
630,11249,3. Hidrolasas
631,11259,4. Liasas
632,11260,2. Transferasas
633,11264,3. Hidrolasas
634,11266,2. Transferasas
635,11282,2. Transferasas
636,11293,2. Transferasas
637,11298,1. Oxidorreductasas
638,11322,2. Transferasas
